"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";442;45;293;25;48.13;30.78;17.35;0.11;0.11
2;"From corner";105;7;47;1;10.24;3.59;6.65;0.1;0.08
3;"Set piece";42;6;23;1;6.2;4.74;1.46;0.15;0.21
4;"Direct Freekick";17;0;11;2;2.06;0.83;1.22;0.12;0.08
5;"Penalty";14;12;4;4;10.41;2.97;7.43;0.74;0.74
