"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Normal";391;64;245;16;57.11;23.14;33.96;0.15;0.09
2;"Standard";135;13;95;3;17.76;9.21;8.54;0.13;0.1
3;"Slow";47;5;27;3;3.77;3.71;0.05;0.08;0.14
4;"Fast";26;5;24;4;5.97;4.93;1.05;0.23;0.21
