"number";"statistic";"min";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xG90";"xGA90"
1;"Goal diff 0";1637;293;33;152;14;32.13;16.66;15.47;1.77;0.92
2;"Goal diff +1";866;165;18;124;9;20.93;12.48;8.45;2.17;1.3
3;"Goal diff > +1";450;93;11;74;6;14.89;9.15;5.74;2.98;1.83
4;"Goal diff -1";272;61;8;18;3;8.48;3.11;5.37;2.8;1.03
5;"Goal diff < -1";98;8;0;10;1;0.6;1.51;-0.91;0.55;1.38
