"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"1-15";78;10;57;8;9.74;9.44;0.3;0.12;0.17
2;"16-30";80;13;55;4;12.52;5.17;7.35;0.16;0.09
3;"31-45";103;9;64;3;10.13;5.67;4.46;0.1;0.09
4;"46-60";113;22;75;5;15.5;8.76;6.74;0.14;0.12
5;"61-75";112;17;45;3;17.31;5.17;12.15;0.15;0.11
6;"76+";113;16;95;3;19.4;6.79;12.61;0.17;0.07
