"number";"statistic";"min";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xG90";"xGA90"
1;"Goal diff 0";1759;250;34;175;11;31.65;21.4;10.25;1.62;1.1
2;"Goal diff +1";789;131;20;83;5;19.39;8.13;11.26;2.21;0.93
3;"Goal diff > +1";634;129;20;91;6;23.12;7.32;15.8;3.28;1.04
4;"Goal diff -1";342;66;10;32;4;8.69;3.47;5.22;2.29;0.91
5;"Goal diff < -1";99;23;3;10;0;1.76;0.68;1.08;1.6;0.62
