"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Own goals";0;0;1;1;0;1;-1;0;1
2;"Out of box";225;14;141;7;8.75;4.77;3.98;0.04;0.03
3;"Penalty area";357;46;214;19;54.35;28.7;25.65;0.15;0.13
4;"Six-yard box";38;10;22;6;13.93;8.44;5.49;0.37;0.38
