"number";"statistic";"min";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xG90";"xGA90"
1;"4-3-1-2";1450;271;34;162;8;39.55;14.92;24.63;2.45;0.93
2;"4-1-2-1-2";560;87;9;76;7;11.06;10.36;0.7;1.78;1.66
3;"4-2-3-1";534;67;10;62;6;8.92;6.04;2.88;1.5;1.02
4;"4-3-3";420;70;14;32;2;9.56;3.37;6.19;2.05;0.72
5;"4-4-2";292;54;13;17;2;9.47;2.66;6.82;2.92;0.82
6;"4-2-2-2";257;35;5;25;0;4.65;2.18;2.48;1.63;0.76
7;"4-1-3-2";96;13;2;14;1;0.96;1.33;-0.37;0.9;1.25
8;"4-4-1-1";14;2;0;3;0;0.43;0.15;0.28;2.78;0.95
