"number";"statistic";"shots";"goals";"shots_against";"goals_against";"xG";"xGA";"xG_diff";"xGperSh";"xGAperSh"
1;"Open play";464;74;296;23;66.85;31.78;35.06;0.14;0.11
2;"From corner";83;10;64;2;9.95;5.26;4.69;0.12;0.08
3;"Direct Freekick";25;0;7;0;1.65;0.39;1.27;0.07;0.06
4;"Set piece";22;1;23;0;2.43;2.82;-0.39;0.11;0.12
5;"Penalty";5;2;1;1;3.72;0.74;2.97;0.74;0.74
